No,Kategori,Sub-Kategori,Nama Modul,Deskripsi Modul
174,Jamaah Journey,Field Execution App,Modul Pembagian Zamzam,Scanning ID Card untuk validasi distribusi air zamzam agar akurat dan tidak ada yang dobel.
175,Jamaah Journey,Field Execution App,Modul Pelaporan Isu Harian,Tombol laporan darurat dari lapangan ke pusat jika ada jamaah sakit atau kendala vendor.
176,Jamaah Journey,Field Execution App,Modul Edukasi Mitigasi,Modul informasi/video otomatis untuk meredam kekecewaan jamaah jika terjadi kendala tak terduga.
177,Dashboard,Operational Readiness,Modul Eksekusi Vendor,"Ceklis kesiapan tiket, hotel, dan visa untuk memantau risiko paket yang laku terjual."
178,Dashboard,Operational Readiness,Modul Ketersediaan Kursi,Pantauan angka sisa kursi keberangkatan yang akurat karena sinkron dengan proses closing CS.
179,Dashboard,Sales & Marketing Engine,Modul Pantauan Anggaran Iklan,Monitoring biaya iklan dan CPL serta peringatan jika spending tinggi namun closing minim.
180,Dashboard,Sales & Marketing Engine,Modul Papan Kinerja CS,Dasbor evaluasi produktivitas CS mencakup rasio konversi dan total nilai revenue dihasilkan.
181,Dashboard,Real-Time Field View,Modul Radar Bus,Fitur live tracking untuk memantau pergerakan bus rombongan secara langsung selama di Saudi.
182,Dashboard,Real-Time Field View,Modul Status Raudhah,Pemantauan persentase keberhasilan jamaah masuk Raudhah dibandingkan target grup.
183,Dashboard,Real-Time Field View,Modul Pelacakan Koper,"Dasbor posisi presisi koper jamaah (Jakarta, Bagasi Pesawat, atau Hotel Saudi)."
184,Dashboard,Real-Time Field View,Modul Laporan Insiden,Notifikasi instan ke pusat jika terjadi insiden kesehatan jamaah atau masalah vendor di Saudi.
185,Dashboard,Inventory Executive View,Modul Kesehatan Gudang,Grafik stok kritis dan kalkulasi total nilai aset fisik di dalam gudang dalam Rupiah.
186,Dashboard,Inventory Executive View,Modul Pantauan Eksekusi Logistik,Monitoring antrean perlengkapan jamaah lunas dan status pesanan barang (Outstanding PO).
187,Dashboard,Financial Health Dashboard,Modul Arus Kas Instan,Layar pantauan real-time pergerakan uang masuk/keluar dan saldo konsolidasi kas/bank.
188,Dashboard,Financial Health Dashboard,Modul Laporan Keuangan Eksekutif,Akses cepat ke laporan Neraca dan Laba Rugi Konsolidasi tanpa menunggu akhir bulan.
189,Dashboard,Financial Health Dashboard,Modul Likuiditas,Laporan pemantauan umur piutang jamaah dan hutang vendor guna menjaga arus kas.
190,Fitur Pelengkap & Daily App,Daily Worship,Modul Jadwal Shalat & Adzan,Jadwal shalat akurat berbasis GPS dengan notifikasi suara adzan otomatis sesuai lokasi.
191,Fitur Pelengkap & Daily App,Daily Worship,Modul Kompas Arah Kiblat,Penunjuk arah kiblat presisi berbasis sensor gyroscope handphone untuk kemudahan shalat.
192,Fitur Pelengkap & Daily App,Daily Worship,Modul Al-Quran Digital,"Mushaf digital dengan terjemahan, tajwid warna, fitur pencarian, dan audio murottal."
193,Fitur Pelengkap & Daily App,Daily Worship,Modul Dzikir & Kumpulan Doa,"Buku saku digital dzikir pagi-petang, doa harian, dan doa khusus perjalanan ibadah."
194,Fitur Pelengkap & Daily App,Islamic Knowledge,Modul Ensiklopedia Manasik,"Panduan langkah demi langkah tata cara Umroh/Haji dalam format teks, audio, dan video."
195,Fitur Pelengkap & Daily App,Islamic Knowledge,Modul Artikel & Kajian Rutin,Umpan artikel islami harian dan info live streaming kajian ustadz pembimbing travel.
196,Fitur Pelengkap & Daily App,Islamic Knowledge,Modul Tanya Jawab Agama,Fasilitas bagi alumni untuk konsultasi fiqh keseharian kepada dewan asatidz perusahaan.
197,Fitur Pelengkap & Daily App,Alumni Hub,Modul Forum Grup Angkatan,Ruang interaksi khusus di aplikasi bagi jamaah yang berangkat pada grup/tanggal yang sama.
198,Fitur Pelengkap & Daily App,Alumni Hub,Modul Papan Informasi Reuni,"Pengumuman acara kopdar, tabligh akbar, atau silaturahmi akbar khusus untuk alumni."
199,Fitur Pelengkap & Daily App,Alumni Hub,Modul Pusat Referral Alumni,Layar pengambilan kode kupon referral bagi alumni untuk mengajak rekan mendaftar.
200,Fitur Pelengkap & Daily App,ZISWAF & Savings,Modul Tabungan Niat Kembali,Fitur visual motivasi tabungan auto-debit bernominal kecil untuk persiapan umroh masa depan.
201,Fitur Pelengkap & Daily App,ZISWAF & Savings,Modul Kalkulator Zakat,Alat bantu hitung Zakat Maal secara akurat sesuai nisab harga emas terkini.
202,Fitur Pelengkap & Daily App,ZISWAF & Savings,Modul Sedekah & Infaq Pagi,Gerbang pembayaran sedekah subuh instan yang disalurkan melalui lembaga amil zakat mitra.
